date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:01:31	85589/85589	---M-Z	200	added ('OK')	application/javascript	etag:W/%2256901603-14e55%22	https://code.jquery.com/jquery-2.2.0.min.js	E:/Bluelight%20media/digital%20website/code.jquery.com/jquery-2.2.0.min.js	(from https://ittisa.com/)
01:01:33	41425/41425	---M--	200	added ('OK')	application/javascript	etag:%22a160f48-a1d1-578f7659e7b7e%22	https://ittisa.com/wp-content/mmr/57da19d6-1478151634.min.js	E:/Bluelight%20media/digital%20website/ittisa.com/wp-content/mmr/57da19d6-1478151634.min.js	(from https://ittisa.com/)
01:01:33	800/800	---MC-	200	added ('OK')	text/xml	date:Sat,%2003%20Aug%202019%2019:31:17%20GMT	https://ittisa.com/xmlrpc.php?rsd	E:/Bluelight%20media/digital%20website/ittisa.com/xmlrpc0db0.php	(from https://ittisa.com/)
01:01:35	86659/86659	---MC-	200	added ('OK')	text/javascript	date:Fri,%2024%20Mar%202017%2020:55:54%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	E:/Bluelight%20media/digital%20website/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from https://ittisa.com/)
01:01:35	57508/57508	---MC-	200	added ('OK')	application/json	date:Sat,%2003%20Aug%202019%2019:31:20%20GMT	https://ittisa.com/wp-json/	E:/Bluelight%20media/digital%20website/ittisa.com/wp-json/index.html	(from https://ittisa.com/)
01:01:35	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22a1256b4-415-4ed4785e9de00%22	https://ittisa.com/wp-includes/wlwmanifest.xml	E:/Bluelight%20media/digital%20website/ittisa.com/wp-includes/wlwmanifest.xml	(from https://ittisa.com/)
01:02:41	77749/77749	---MCZ	200	added ('OK')	text/css	etag:W/%225b565dfb-12fb5%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.css	E:/Bluelight%20media/digital%20website/cdnjs.cloudflare.com/ajax/libs/animate.css/3.7.0/animate.css	(from https://ittisa.com/)
01:02:47	44287/44287	---MC-	200	added ('OK')	text/javascript	date:Thu,%2020%20Jun%202019%2021:35:04%20GMT	https://www.google-analytics.com/analytics.js	E:/Bluelight%20media/digital%20website/www.google-analytics.com/analytics.js	(from https://ittisa.com/)
01:04:35	120123/120123	---M--	200	added ('OK')	image/png	etag:%220c6f873ae9e124ad8ee3bda5761b140e%22	https://i.imgur.com/cx9waHy.png	E:/Bluelight%20media/digital%20website/i.imgur.com/cx9waHy.png	(from https://ittisa.com/)
01:04:36	142434/142434	---M--	200	added ('OK')	image/png	etag:%227e3ebbfd66688f0c93a36b22d53afafd%22	https://i.imgur.com/nQc6ReG.png	E:/Bluelight%20media/digital%20website/i.imgur.com/nQc6ReG.png	(from https://ittisa.com/)
01:04:36	133043/133043	---M--	200	added ('OK')	image/png	etag:%220657311de1274aa110d7002dc274fc65%22	https://i.imgur.com/dFH1GXr.png	E:/Bluelight%20media/digital%20website/i.imgur.com/dFH1GXr.png	(from https://ittisa.com/)
01:04:38	111823/111823	---M--	200	added ('OK')	image/png	etag:%22b492954eb942d66d0d96694823c38319%22	https://i.imgur.com/331aFPY.png	E:/Bluelight%20media/digital%20website/i.imgur.com/331aFPY.png	(from https://ittisa.com/)
01:04:38	132841/132841	---M--	200	added ('OK')	image/png	etag:%229a9d7b66ec571a2cbca9361766b2b943%22	https://i.imgur.com/KTAN8Nl.png	E:/Bluelight%20media/digital%20website/i.imgur.com/KTAN8Nl.png	(from https://ittisa.com/)
01:04:40	104487/104487	---M--	200	added ('OK')	image/png	etag:%22b68b32757a567a111a1c0ad508e59b84%22	https://i.imgur.com/nx9SaXY.png	E:/Bluelight%20media/digital%20website/i.imgur.com/nx9SaXY.png	(from https://ittisa.com/)
01:10:59	41008/41008	---M--	200	added ('OK')	image/png	etag:%22707f4db7a400650d79a08b8e7fc780e0%22	https://cdn1.databox.com/badges/DataboxCertifiedPartner_a1d34a.png	E:/Bluelight%20media/digital%20website/cdn1.databox.com/badges/DataboxCertifiedPartner_a1d34a.png	(from https://ittisa.com/)
01:11:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2003%20Aug%202019%2019:41:32%20GMT	https://ittisa.com/careers	E:/Bluelight%20media/digital%20website/ittisa.com/careers.2f.delayed	(from https://ittisa.com/)
01:11:44	3798/3798	---M--	200	added ('OK')	image/png	etag:%22a121c1c-ed6-55434d315b100%22	https://ittisa.com/wp-content/themes/ittisa-v3/assets/images/michigan.png	E:/Bluelight%20media/digital%20website/ittisa.com/wp-content/themes/ittisa-v3/assets/images/michigan.png	(from https://ittisa.com/)
01:11:45	3567/3567	---M--	200	added ('OK')	image/png	etag:%22a121be5-def-5688e401f6f80%22	https://ittisa.com/wp-content/themes/ittisa-v3/assets/images/Cali.png	E:/Bluelight%20media/digital%20website/ittisa.com/wp-content/themes/ittisa-v3/assets/images/Cali.png	(from https://ittisa.com/)
01:11:45	1976/1976	---M--	200	added ('OK')	image/png	etag:%22a121bdd-7b8-55434d2f72c80%22	https://ittisa.com/wp-content/themes/ittisa-v3/assets/images/bangalore.png	E:/Bluelight%20media/digital%20website/ittisa.com/wp-content/themes/ittisa-v3/assets/images/bangalore.png	(from https://ittisa.com/)
01:11:45	6544/6544	---M--	200	added ('OK')	image/png	etag:%22a1245e5-1990-568ef9a22d600%22	https://ittisa.com/wp-content/uploads/2018/04/kolkata.png	E:/Bluelight%20media/digital%20website/ittisa.com/wp-content/uploads/2018/04/kolkata.png	(from https://ittisa.com/)
01:11:45	3671/3671	---M--	200	added ('OK')	application/javascript	etag:%22a1610d4-e57-57cdea3c085d0%22	https://ittisa.com/wp-content/mmr/1aee18a8-1544670263.min.js	E:/Bluelight%20media/digital%20website/ittisa.com/wp-content/mmr/1aee18a8-1544670263.min.js	(from https://ittisa.com/)
